epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.1258,0.52792,0.85714,1,0.37975,0.000554558,0.000554558,0.000554558
2,83.0348,0.49454,0.86703,1,0.35666,0.00108824,0.00108824,0.00108824
3,124.36,0.48029,0.85912,1,0.35078,0.00159992,0.00159992,0.00159992
4,163.883,0.44247,0.87296,1,0.3048,0.00156798,0.00156798,0.00156798
5,203.297,0.42072,0.84775,1,0.34865,0.00153497,0.00153497,0.00153497
6,242.064,0.38854,0.89471,1,0.28015,0.00150197,0.00150197,0.00150197
7,280.868,0.36296,0.90213,1,0.24348,0.00146896,0.00146896,0.00146896
8,319.746,0.33843,0.88977,1,0.26762,0.00143595,0.00143595,0.00143595
9,369.295,0.34783,0.90905,1,0.22769,0.00140295,0.00140295,0.00140295
10,413.753,0.32862,0.89768,1,0.23265,0.00136994,0.00136994,0.00136994
11,453.402,0.32427,0.91201,1,0.2159,0.00133693,0.00133693,0.00133693
12,493.182,0.30522,0.90262,1,0.24321,0.00130393,0.00130393,0.00130393
13,532.668,0.30138,0.90707,1,0.22057,0.00127092,0.00127092,0.00127092
14,571.838,0.29649,0.92042,1,0.19435,0.00123791,0.00123791,0.00123791
15,619.958,0.27539,0.91448,1,0.20428,0.00120491,0.00120491,0.00120491
16,665.95,0.2756,0.91547,1,0.21013,0.0011719,0.0011719,0.0011719
17,711.36,0.27431,0.92388,1,0.19146,0.00113889,0.00113889,0.00113889
18,751.84,0.27272,0.92239,1,0.2007,0.00110589,0.00110589,0.00110589
19,791.23,0.27246,0.92635,1,0.18166,0.00107288,0.00107288,0.00107288
20,831.674,0.25634,0.92635,1,0.18705,0.00103987,0.00103987,0.00103987
21,872.059,0.26397,0.92734,1,0.18181,0.00100687,0.00100687,0.00100687
22,911.885,0.2495,0.92882,1,0.18178,0.000973861,0.000973861,0.000973861
23,951.688,0.24087,0.92585,1,0.19585,0.000940855,0.000940855,0.000940855
24,990.775,0.23724,0.9303,1,0.18076,0.000907848,0.000907848,0.000907848
25,1030.08,0.23413,0.92931,1,0.17892,0.000874842,0.000874842,0.000874842
26,1068.55,0.24108,0.93228,1,0.1771,0.000841835,0.000841835,0.000841835
27,1108.45,0.23809,0.93475,1,0.17356,0.000808828,0.000808828,0.000808828
28,1147.16,0.21518,0.93376,1,0.1651,0.000775822,0.000775822,0.000775822
29,1185.58,0.21083,0.92931,1,0.17278,0.000742815,0.000742815,0.000742815
30,1224.03,0.20986,0.93376,1,0.16832,0.000709809,0.000709809,0.000709809
31,1262.41,0.20589,0.93426,1,0.15784,0.000676802,0.000676802,0.000676802
32,1300.86,0.19904,0.9392,1,0.15436,0.000643795,0.000643795,0.000643795
33,1340.53,0.19989,0.93574,1,0.15809,0.000610789,0.000610789,0.000610789
34,1378.99,0.19125,0.94068,1,0.1601,0.000577782,0.000577782,0.000577782
35,1417.51,0.18706,0.93969,1,0.15764,0.000544776,0.000544776,0.000544776
36,1456.12,0.1853,0.94118,1,0.15235,0.000511769,0.000511769,0.000511769
37,1495.18,0.19434,0.94315,1,0.14972,0.000478762,0.000478762,0.000478762
38,1534.59,0.18483,0.94266,1,0.14793,0.000445756,0.000445756,0.000445756
39,1574.71,0.18056,0.93722,1,0.15433,0.000412749,0.000412749,0.000412749
40,1613.59,0.17341,0.94167,1,0.15346,0.000379743,0.000379743,0.000379743
41,1653.09,0.17267,0.94513,1,0.14577,0.000346736,0.000346736,0.000346736
42,1692.12,0.17417,0.94118,1,0.14984,0.000313729,0.000313729,0.000313729
43,1731.1,0.16908,0.94563,1,0.15117,0.000280723,0.000280723,0.000280723
44,1770.01,0.16204,0.94513,1,0.14377,0.000247716,0.000247716,0.000247716
45,1809.14,0.16587,0.94859,1,0.14274,0.00021471,0.00021471,0.00021471
46,1849.67,0.16388,0.9481,1,0.14124,0.000181703,0.000181703,0.000181703
47,1889.48,0.15319,0.95007,1,0.14388,0.000148696,0.000148696,0.000148696
48,1929.13,0.15277,0.94612,1,0.14242,0.00011569,0.00011569,0.00011569
49,1968.42,0.14943,0.9476,1,0.14876,8.26832e-05,8.26832e-05,8.26832e-05
50,2007.52,0.1399,0.94711,1,0.14555,4.96766e-05,4.96766e-05,4.96766e-05
